Spanish Name,English Translation,Dutch Translation,Description,Dutch Description,Price Range,Pork,Other Meat,Fish/Seafood,Dairy,Vegetarian,Google Search
Aceitunas,Olives,Olijven,Marinated olives served as appetizer,"Olijven, vaak geserveerd als tapas",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=spanish%20aceitunas&tbm=isch
Agua de Valencia,Valencia Water,Valencia Water,"Cocktail with cava, orange juice, vodka and gin","Cocktail met cava, sinaasappelsap en gin uit Valencia",€6-8,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=agua%20de%20valencia%20cocktail&tbm=isch
Aguacate,Avocado,Avocado,Fresh avocado slices or guacamole,"Avocado, vaak geserveerd in salades of als guacamole",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=aguacate%20spanish&tbm=isch
Ajoblanco,White Garlic Soup,Witte Knoflooksoep,"Cold soup with bread, almonds, garlic, olive oil and sometimes grapes","Koude soep van amandelen, knoflook en brood uit Andalusië",€4-6,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=ajoblanco%20soup&tbm=isch
Ajo Blanco,White Gazpacho,Witte Gazpacho,Cold almond soup from Andalusia,Witte gazpacho met amandelen en druiven,€5-7,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=ajo%20blanco&tbm=isch
Albóndigas,Meatballs,Gehaktballen,Meatballs typically made with beef and pork in tomato sauce,"Gehaktballen in tomatensaus, klassieke Spaanse tapas",€8-10,TRUE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=albondigas%20spanish&tbm=isch
Alioli,Garlic Mayonnaise,Knoflookmayonaise,Garlic sauce with olive oil and sometimes egg,"Romige knoflookmayonaise, perfect bij vis en groenten",€2-3,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=alioli%20sauce&tbm=isch
Almejas,Clams,Venusschelpen,Steamed clams in white wine sauce,"Venusschelpen, vaak gestoomd met witte wijn en knoflook",€9-13,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=almejas%20spanish&tbm=isch
Anchoas,Anchovies,Ansjovis,Cured anchovy fillets in olive oil,"Ansjovis, gezouten vis gebruikt in salades en op toast",€6-8,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=anchoas%20spanish&tbm=isch
Angulas,Baby Eels,Glasaaltjes,"Expensive delicacy, usually sautéed with garlic","Glasaaltjes, delicatesse vooral populair in Baskenland",€20-35,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=angulas%20spanish&tbm=isch
Arroz con Leche,Rice Pudding,Rijstpudding,"Sweet dessert with rice, milk, cinnamon and lemon","Rijstpudding met kaneel, traditioneel Spaans dessert",€4-5,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=arroz%20con%20leche&tbm=isch
Arroz con Pollo,Chicken Rice,Kippenrijst,Rice dish with chicken and vegetables,"Rijstgerecht met kip en groenten, comfort food",€10-13,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=arroz%20con%20pollo&tbm=isch
Arroz Negro,Black Rice,Zwarte Rijst,"Rice cooked with squid ink, seafood, and vegetables","Zwarte rijst gekleurd met inktvisinkt, specialiteit uit Valencia",€12-15,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=arroz%20negro&tbm=isch
Asado de Cordero,Roast Lamb,Geroosterd Lamsvlees,Slow-roasted lamb with herbs,Langzaam geroosterd lamsvlees met kruiden,€16-22,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=asado%20cordero&tbm=isch
Atún,Tuna,Tonijn,"Tuna served in various ways, often as tapas","Tonijn, vaak gegriald of in tartaar",€8-12,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=atun%20spanish%20tapa&tbm=isch
Bacalao,Codfish,Kabeljauw,Salted codfish prepared in various ways,"Kabeljauw, vaak gezouten en gebruikt in traditionele gerechten",€10-14,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=bacalao%20spanish&tbm=isch
Berenjenas con Miel,Eggplant with Honey,Aubergine met Honing,Fried eggplant slices drizzled with honey,"Gefrituurde aubergine met honing, Andalusische specialiteit",€6-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=berenjenas%20con%20miel&tbm=isch
Besugo,Sea Bream,Zeebrasem,Grilled or baked sea bream,"Zeebrasem, populaire vis vaak heel gegrild",€12-16,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=besugo%20pescado&tbm=isch
Bistec,Steak,Biefstuk,Grilled beef steak,"Biefstuk, meestal gegriild en eenvoudig bereid",€14-20,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=bistec%20spanish&tbm=isch
Bocadillo,Sandwich,Broodje,Baguette sandwich with various fillings,Spaans broodje op stokbrood met verschillende vullingen,€3-6,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=bocadillo%20spanish&tbm=isch
Bonito,Bonito Tuna,Bonito Tonijn,"Fresh bonito tuna, grilled or canned","Bonito tonijn, vaak ingeblikt of vers gegriild",€10-14,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=bonito%20del%20norte&tbm=isch
Boquerones,Marinated Anchovies,Gemarineerde Ansjovis,Fresh anchovies marinated in vinegar and olive oil,Verse ansjovis gemarineerd in azijn en olijfolie,€6-8,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=boquerones%20en%20vinagre&tbm=isch
Bravas,Spicy Potatoes,Pittige Aardappeltjes,Fried potato cubes with spicy tomato sauce,Gebakken aardappelblokjes met pittige tomatensaus,€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=patatas%20bravas&tbm=isch
Brocheta,Skewer,Spies,Mixed meat or vegetable skewers,"Spies met vlees, vis of groenten",€8-12,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=brochetas%20spanish&tbm=isch
Buñuelos,Fritters,Beignets,Sweet or savory fried dough balls,"Zoete gefrituurde deegballetjes, vaak als dessert",€3-5,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=bunuelos%20spanish&tbm=isch
Burger,Hamburger,Hamburger,Beef burger with various toppings,Hamburger op zijn Spaans,€8-12,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=hamburguesa%20spanish&tbm=isch
Caballa,Mackerel,Makreel,"Grilled mackerel, often with vegetables","Makreel, vaak gegriild of gemarineerd",€9-12,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=caballa%20pescado&tbm=isch
Cachopo,Stuffed Veal,Gevulde Kalfsvlees,"Veal stuffed with ham and cheese, breaded",Grote gevulde kalfssschnitzel uit Asturië,€15-18,FALSE,TRUE,FALSE,TRUE,FALSE,https://www.google.com/search?q=cachopo%20asturiano&tbm=isch
Caesar Salad,Caesar Salad,Caesar Salade,Romaine lettuce with caesar dressing and parmesan,"Caesar salade met kip, croutons en parmezaan",€7-10,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=ensalada%20cesar&tbm=isch
Calabacín,Zucchini,Courgette,Grilled or stuffed zucchini,"Courgette, vaak gegrild of in ratatouille",€6-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=calabacin%20spanish&tbm=isch
Calamares a la Romana,Fried Squid Rings,Gefrituurde Inktvisringen,Battered and fried squid rings,"Gefrituurde inktvisringen in beslag, populaire tapas",€8-10,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=calamares%20a%20la%20romana&tbm=isch
Calçots,Grilled Green Onions,Gegrilde Groene Uien,Grilled spring onions served with romesco sauce,"Grote groene uien gegrild op houtkool, Catalaanse specialiteit",€10-15,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=calcots&tbm=isch
Caldo Gallego,Galician Broth,Galicische Bouillon,"Hearty soup with beans, potatoes, greens and pork",Hartige bouillon met witte bonen uit Galicië,€5-7,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=caldo%20gallego&tbm=isch
Canelones,Cannelloni,Cannelloni,Pasta tubes stuffed with meat or spinach,Cannelloni gevuld met vlees of ricotta,€9-12,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=canelones%20spanish&tbm=isch
Caracoles,Snails,Slakken,Cooked snails in sauce,Slakken bereid met knoflook en peterselie,€8-10,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=caracoles%20spanish&tbm=isch
Carbonara,Pasta Carbonara,Pasta Carbonara,"Pasta with eggs, cheese, and bacon","Pasta met spek, ei en kaas",€9-12,TRUE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=pasta%20carbonara&tbm=isch
Carne Asada,Grilled Meat,Gegrild Vlees,Grilled and sliced beef,"Gegrild vlees, vaak rund- of varkensvlees",€14-18,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=carne%20asada%20spanish&tbm=isch
Carpaccio,Carpaccio,Carpaccio,Thinly sliced raw beef or fish,Dun gesneden rauw rundvlees met rucola,€10-14,FALSE,TRUE,TRUE,FALSE,FALSE,https://www.google.com/search?q=carpaccio&tbm=isch
Carrillada,Beef/Pork Cheeks,Runderwangen/Varkenswangen,Slow-cooked meat cheeks in wine sauce,"Malse wangen van rund of varken, langzaam gestoofd",€12-16,TRUE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=carrillada%20spanish&tbm=isch
Cava,Spanish Sparkling Wine,Spaanse Mousserende Wijn,Spanish sparkling wine similar to champagne,"Spaanse mousserende wijn, vooral uit Catalonië",€4-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=cava%20spanish%20wine&tbm=isch
Cazón en Adobo,Marinated Dogfish,Gemarineerde Doornhaai,Fried fish marinated in spices and vinegar,Gemarineerde haaienfilet uit Andalusië,€8-10,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=cazon%20en%20adobo&tbm=isch
Cecina,Cured Beef,Gedroogd Rundvlees,Air-dried cured beef from León,"Gedroogd en gezouten rundvlees, Spaanse charcuterie",€10-14,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=cecina%20leon&tbm=isch
Centolla,Spider Crab,Spinnenkrab,"Large crab, often served cold","Grote spinnenkrab, delicatesse uit Noord-Spanje",€18-25,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=centolla%20cangrejo&tbm=isch
Ceviche,Ceviche,Ceviche,Raw fish marinated in citrus juices,Rauwe vis gemarineerd in citroensap,€12-16,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=ceviche&tbm=isch
Champiñones al Ajillo,Garlic Mushrooms,Knoflook Champignons,Mushrooms sautéed with garlic and olive oil,Champignons gebakken in knoflookolie,€6-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=champinones%20al%20ajillo&tbm=isch
Chateaubriand,Chateaubriand,Chateaubriand,Premium beef cut for two people,Dikke ossenhaas voor twee personen,€35-45,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=chateaubriand&tbm=isch
Chicken Wings,Chicken Wings,Kippenvleugels,Buffalo or BBQ chicken wings,"Kippenvleugels, vaak pittig gekruid",€7-10,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=chicken%20wings&tbm=isch
Chipirones,Baby Squid,Baby Inktvis,Grilled or fried baby squid,"Baby inktvisjes, vaak gegriild of gefrituurrd",€9-12,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=chipirones&tbm=isch
Chorizo,Chorizo,Chorizo,Spanish spiced pork sausage,Kruidige Spaanse worst met paprika,€6-8,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=chorizo%20spanish&tbm=isch
Chuleta,Pork Chop,Varkenskotelet,Grilled pork chop,"Varkenskotelet, vaak gegriild",€10-14,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=chuleta%20cerdo&tbm=isch
Chuletón,T-bone Steak,T-bone Steak,"Large T-bone steak, often shared",Grote T-bone steak voor delen,€25-35,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=chuleton%20vasco&tbm=isch
Churros,Fried Dough Pastry,Churros,"Deep-fried dough pastry, often served with chocolate","Gefrituurde deegstengels met suiker, vaak met chocolade",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=churros%20spanish&tbm=isch
Club Sandwich,Club Sandwich,Club Sandwich,Triple-decker sandwich with chicken and bacon,"Drielaags sandwich met kip, spek en groenten",€8-11,FALSE,TRUE,FALSE,TRUE,FALSE,https://www.google.com/search?q=club%20sandwich&tbm=isch
Cochinillo Asado,Roast Suckling Pig,Gebraden Speenvarken,Roasted whole baby pig,"Geroosterd speenvarken, specialiteit uit Segovia",€20-30,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=cochinillo%20asado&tbm=isch
Consommé,Clear Soup,Heldere Bouillon,Clear chicken or beef broth,"Heldere, krachtige bouillon",€4-6,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=consomme%20soup&tbm=isch
Cordero,Lamb,Lamsvlees,Roasted or grilled lamb,"Lamsvlees, vaak geroosterd of gestoofd",€14-18,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=cordero%20asado&tbm=isch
Crema Catalana,Catalan Cream,Catalaanse Crème,Custard dessert with caramelized sugar top,Catalaanse crème brûlée met citroen,€5-7,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=crema%20catalana&tbm=isch
Croquetas,Croquettes,Kroketten,Fried breadcrumbed rolls with various fillings,"Kroketten met romige vulling van ham, kip of kaas",€6-8,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=croquetas%20spanish&tbm=isch
Dátiles con Bacon,Dates with Bacon,Dadels met Spek,Dates wrapped in bacon,"Dadels omwikkeld met spek, zoet-hartige hapjes",€6-8,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=datiles%20con%20bacon&tbm=isch
Dorada,Sea Bream,Zeebrasem,Grilled whole sea bream,"Goudbrasen, delicate vis vaak heel gegrild",€14-18,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=dorada%20pescado&tbm=isch
Duck,Duck,Eend,Roasted duck breast or leg,"Eend, vaak geconfijt of geroosterd",€16-20,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=pato%20asado&tbm=isch
Embutidos,Cold Cuts,Charcuterie,Selection of Spanish cured meats,Verschillende Spaanse worsten en charcuterie,€10-15,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=embutidos%20spanish&tbm=isch
Empanada Gallega,Galician Pie,Galicische Pastei,"Pastry filled with tuna, meat or vegetables",Hartige taart met tonijn of vlees uit Galicië,€8-12,FALSE,TRUE,TRUE,FALSE,FALSE,https://www.google.com/search?q=empanada%20gallega&tbm=isch
Ensalada Mixta,Mixed Salad,Gemengde Salade,"Lettuce, tomato, onion, tuna salad","Gemengde salade met tomaat, ui en olijven",€6-8,FALSE,FALSE,TRUE,FALSE,TRUE,https://www.google.com/search?q=ensalada%20mixta&tbm=isch
Ensaladilla Rusa,Russian Salad,Russische Salade,Potato salad with vegetables and mayonnaise,"Aardappelsalade met mayonaise, erwten en wortels",€5-7,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=ensaladilla%20rusa&tbm=isch
Entrecot,Ribeye Steak,Ribeye Steak,Grilled ribeye steak,"Ribeye steak, malse en smaakvolle biefstuk",€16-22,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=entrecot&tbm=isch
Escalivada,Roasted Vegetables,Geroosterde Groenten,"Roasted eggplant, peppers, and onions","Geroosterde paprika's, aubergine en ui",€7-9,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=escalivada&tbm=isch
Escabeche,Pickled Fish,Ingelegde Vis,Fish marinated in vinegar and spices,Vis gemarineerd in azijn met groenten,€8-11,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=escabeche%20pescado&tbm=isch
Espárragos,Asparagus,Asperges,Usually white asparagus served with various sauces,"Asperges, vaak wit en uit blik",€7-10,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=esparragos%20spanish%20tapa&tbm=isch
Espeto,Skewered Fish,Vis aan het Spit,Grilled sardines or other fish on skewers,Sardines geroosterd op stokken boven houtskool,€8-12,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=espeto%20sardinas&tbm=isch
Fabada Asturiana,Asturian Bean Stew,Asturische Bonenstoofpot,"Stew with large white beans, chorizo, morcilla, and pork",Stevige witte bonenstoofpot met chorizo uit Asturië,€10-14,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=fabada%20asturiana&tbm=isch
Falafel,Falafel,Falafel,Middle Eastern chickpea fritters,Gefrituurde kikkererwtenballetjes,€6-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=falafel&tbm=isch
Fideuà,Noodle Paella,Noedel Paella,"Paella-style dish made with short pasta instead of rice, usually with seafood",Paella maar dan met dunne noedels in plaats van rijst,€12-16,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=fideua&tbm=isch
Fish & Chips,Fish & Chips,Fish & Chips,Battered fish with french fries,"Gefrituurde vis met patat, Britse import",€9-12,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=fish%20and%20chips&tbm=isch
Flan,Caramel Custard,Karamel Pudding,Sweet egg custard with caramel sauce,"Karamelpudding, klassiek Spaans dessert",€4-6,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=flan%20spanish%20dessert&tbm=isch
Foie Gras,Foie Gras,Foie Gras,Duck or goose liver pâté,"Ganzen- of eendenlever, luxe voorgerecht",€15-20,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=foie%20gras&tbm=isch
French Fries,French Fries,Patat,Classic french fries,Patat of friet,€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=patatas%20fritas&tbm=isch
Fresas con Nata,Strawberries with Cream,Aardbeien met Slagroom,Fresh strawberries with whipped cream,Verse aardbeien met slagroom,€5-7,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=fresas%20con%20nata&tbm=isch
Fricandó,Catalan Beef Stew,Catalaanse Runderstoofpot,Beef stew with mushrooms,Catalaanse runderstoofpot met champignons,€12-15,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=fricando%20catalan&tbm=isch
Fritura de Pescado,Mixed Fried Fish,Gemengde Gefrituurde Vis,Assortment of small fried fish,Mix van verschillende kleine gefrituurde visjes,€10-14,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=fritura%20de%20pescado&tbm=isch
Gamba Roja,Red Prawns,Rode Garnalen,Premium red prawns from Mediterranean,"Rode garnalen, grote en smaakvolle garnalen",€18-25,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=gamba%20roja&tbm=isch
Gambas al Ajillo,Garlic Shrimp,Knoflook Garnalen,Shrimp sautéed with garlic and olive oil,"Garnalen gebakken in knoflookolie, klassieke tapas",€10-14,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=gambas%20al%20ajillo&tbm=isch
Garbanzos,Chickpeas,Kikkererwten,"Chickpea stew, sometimes with chorizo","Kikkererwten, vaak in stoofpotten",€7-9,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=garbanzos%20spanish&tbm=isch
Gazpacho,Cold Tomato Soup,Koude Tomatensoep,Cold soup made with raw blended vegetables,"Koude tomatensoep met groenten, zomers gerecht",€5-7,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=gazpacho&tbm=isch
Gilda,"Olive, Pepper and Anchovy Skewer","Olijf, Peper en Ansjovis Spies","Traditional Basque pintxo with olives, peppers, and anchovies","Spiesje met olijf, ansjovis en paprika",€2-3,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=gilda%20pintxo&tbm=isch
Gofres,Waffles,Wafels,"Sweet waffles often served with chocolate, cream or fruit",Wafels met verschillende toppings,€4-6,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=gofres%20spanish&tbm=isch
Greek Salad,Greek Salad,Griekse Salade,"Tomatoes, cucumber, olives, feta cheese","Griekse salade met feta, olijven en tomaten",€7-9,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=ensalada%20griega&tbm=isch
Guacamole,Guacamole,Guacamole,Avocado dip with lime and spices,Avocadodip met limoen en koriander,€5-7,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=guacamole&tbm=isch
Hamburguesa,Hamburger,Hamburger,Beef burger with various toppings,Hamburger met friet,€8-12,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=hamburguesa&tbm=isch
Helado,Ice Cream,IJs,Various flavors of ice cream,Ijs in verschillende smaken,€3-5,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=helado%20spanish&tbm=isch
Hígado,Liver,Lever,Grilled or sautéed liver,"Lever, vaak van kalf of varken",€8-10,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=higado%20encebollado&tbm=isch
Huevos Rotos,Broken Eggs,Gebroken Eieren,"Fried eggs served over potatoes, often with ham or chorizo","Spiegelei over gebakken aardappels, simpel maar lekker",€8-10,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=huevos%20rotos&tbm=isch
Hummus,Hummus,Hummus,Chickpea dip with tahini,Kikkererwten spread met tahini,€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=hummus&tbm=isch
